Wavelength (nm)	62231 Avg	avg std	62231 scaled avg	sc avg std
1050.0	0.20796	0.0070630	1.1739	0.0027255
1055.0	0.20857	0.0070859	1.1774	0.0022814
1060.0	0.20937	0.0072920	1.1819	0.0016014
1065.0	0.21000	0.0072572	1.1854	0.0015309
1070.0	0.21053	0.0073145	1.1884	0.0013980
1075.0	0.21152	0.0074056	1.1940	0.0019752
1080.0	0.21216	0.0074797	1.1976	0.0021327
1085.0	0.21288	0.0075150	1.2017	0.0025709
1090.0	0.21364	0.0076928	1.2060	0.0011426
1095.0	0.21440	0.0076677	1.2102	0.0012727
1100.0	0.21526	0.0074857	1.2152	0.0033070
1105.0	0.21582	0.0076352	1.2183	0.0025290
1110.0	0.21668	0.0076315	1.2231	0.0021152
1115.0	0.21758	0.0077367	1.2282	0.0022040
1120.0	0.21815	0.0080331	1.2314	0.0024382
1125.0	0.21887	0.0078246	1.2355	0.0023459
1130.0	0.21965	0.0080350	1.2399	0.0033428
1135.0	0.22032	0.0078807	1.2437	0.0027818
1140.0	0.22102	0.0079683	1.2476	0.0023583
1145.0	0.22161	0.0080209	1.2510	0.0024669
1150.0	0.22238	0.0080624	1.2553	0.0026376
1155.0	0.22305	0.0080719	1.2591	0.0020710
1160.0	0.22367	0.0080266	1.2626	0.0017285
1165.0	0.22431	0.0080338	1.2662	0.0029905
1170.0	0.22501	0.0081459	1.2701	0.0029532
1175.0	0.22568	0.0080894	1.2739	0.0020719
1180.0	0.22635	0.0082492	1.2777	0.0016671
1185.0	0.22693	0.0082549	1.2810	0.0025728
1190.0	0.22753	0.0082733	1.2844	0.0024912
1195.0	0.22825	0.0082070	1.2884	0.0020418
